X,Y,tan,cur
0.0,0.0,,
-0.10059137044666867,0.09771643467821167,-0.7998678311554418,4.063431250696502e-05
-0.6170836213842937,0.5995006846382429,-0.7998093091858312,0.011648670128177234
-0.6343258898016962,0.6162540860720143,-0.7882012733701609,0.05812869357395645
-0.6471587741217871,0.6293141365179971,-0.7416806156118747,0.11712657539579907
-0.6590795785994698,0.643275060002759,-0.6710746979743618,0.13507174772556318
-0.6735174494372471,0.6628534621748445,-0.6066088678863115,0.12168562442345254
-0.6865805109999776,0.6828877572898855,-0.5493890735509093,0.09334444914507967
-0.7135763520270755,0.7299306877812036,-0.5132644187412319,0.1104815842422216
-0.757565518353646,0.8093998449013473,-0.43890748930868767,0.2203547725274984
-0.7672382713585011,0.8341722248587791,-0.29290964621373344,0.14599784309495423
-0.772419856898509,0.8580652023226001,,
